No,Architecture                     ,ES,loss   ,acc    ,val_loss,val_acc,,Public ,Private,[30]:epochs=30
8 ,16 | 512 - 10                    ,12,0.2345 ,0.9122 ,0.2476  ,0.9125 ,,       ,       ,
5 ,32 | 512 - 10                    ,28,0.1626 ,0.9423 ,0.2964  ,0.9175 ,,       ,       ,
7 ,32 | 1024 - 10                   ,11,0.2064 ,0.9246 ,0.2780  ,0.9152 ,,       ,       ,
  ,=== Retrying ===                 ,  ,       ,       ,        ,       ,,       ,       ,
  ,                                 ,  ,       ,       ,        ,       ,,       ,       ,
4 ,32 - 64 | 512 - 10 [10]          ,--,0.2705 ,0.9016 ,0.2592  ,0.9040 ,,0.90222,0.85000,
6 ,32 - 64 | 1024 - 10              ,21,0.3162 ,0.8860 ,0.2748  ,0.9016 ,,       ,       ,
13,64 - 128 | 256 - 10              ,--,0.2754 ,0.9015 ,0.2554  ,0.9093 ,,       ,       ,
16,128 - 128 | 256 - 10             ,26,0.2950 ,0.8949 ,0.2644  ,0.9039 ,,       ,       ,
14,128 - 128 | 512 - 10             ,12,0.2971 ,0.8924 ,0.2576  ,0.9058 ,,       ,       ,
18,128 - 128 | 1024 - 10            ,10,0.2937 ,0.9089 ,0.2655  ,0.9036 ,,       ,       ,
19,128 - 256 | 256 - 10             ,19,0.2804 ,0.8994 ,0.2636  ,0.9060 ,,       ,       ,
3 ,128 - 256 | 512 - 10 [10]        ,--,0.2485 ,0.9084 ,0.2701  ,0.9043 ,,0.89848,0.86000,
11,128 - 256 | 512 - 10             ,22,0.2737 ,0.9010 ,0.2530  ,0.9093 ,,       ,       ,
21,128 - 256 | 1024 - 10            ,16,0.2859 ,0.8980 ,0.2664  ,0.9073 ,,       ,       ,
20,128 - 256 | 2048 - 10            ,--,0.3017 ,0.8945 ,0.2884  ,0.9065 ,,       ,       ,
  ,                                 ,  ,       ,       ,        ,       ,,       ,       ,
1 ,32*2 - 64*2 | 256 - 10 [10]      ,--,0.3428 ,0.8742 ,0.3330  ,0.8810 ,,0.87707,0.84000,padding=vaild; MaxPooling_strides=1x1
15,64*2 - 128*2 | 1024 - 10         ,22,0.3658 ,0.8677 ,0.3050  ,0.8874 ,,       ,       ,
17,64*2 - 128*2 | 2048 - 10         ,11,0.3698 ,0.8650 ,0.3023  ,0.8857 ,,       ,       ,
2 ,128*2 - 256*2 | 10 [10]          ,--,0.2835 ,0.8952 ,0.2854  ,0.9019 ,,0.89535,0.87000,
9 ,128*2 - 256*2 | 512 - 10         ,23,0.3488 ,0.8736 ,0.2822  ,0.8939 ,,       ,       ,
  ,                                 ,  ,       ,       ,        ,       ,,       ,       ,
10,128 - 128 - 128 - 128 | 512 - 10 ,24,0.4671 ,0.8401 ,0.3567  ,0.8704 ,,       ,       ,2x2_before_flatten; DropoutRate=0.25_better
12,128 - 128 - 128 - 128 | 1024 - 10,12,0.4560 ,0.8383 ,0.3368  ,0.8749 ,,       ,       ,2x2_before_flatten; DropoutRate=0.25_better
